participant_ID,response,text_stimuli,eng_v,idn_v,n,response_ID,groups
8882226,Find 1.jpg,Investigate = Mencari,Investigate,Mencari,1,C1,C
8882226,Find 2.jpg,Discover = Mencari,Discover,Mencari,1,C2,C
8882226,Find 2.jpg,Find = Mencari,Find,Mencari,1,C2,C
8882226,Find 2.jpg,Rummage = Mencari,Rummage,Mencari,1,C2,C
8882226,Find 2.jpg,Search = Mencari,Search,Mencari,1,C2,C
8882226,Find 3.jpg,Locate = Mencari,Locate,Mencari,1,C3,C
8882226,Find 4.jpg,Explore = Mencari,Explore,Mencari,1,C4,C
8882226,Get 1.jpg,Earn = Mendapatkan,Earn,Mendapatkan,1,D1,D
8882226,Get 1.jpg,Get = Mendapatkan,Get,Mendapatkan,1,D1,D
8882226,Get 2.jpg,Acquire = Mendapatkan,Acquire,Mendapatkan,1,D2,D
8882226,Get 3.jpg,Gain = Mendapatkan,Gain,Mendapatkan,1,D3,D
8882226,Get 3.jpg,Receive = Mendapatkan,Receive,Mendapatkan,1,D3,D
8882226,Get 4.jpg,Obtain = Mendapatkan,Obtain,Mendapatkan,1,D4,D
8882226,Get 4.jpg,Procure = Mendapatkan,Procure,Mendapatkan,1,D4,D
8882226,Give 1.jpg,Share = Memberi,Share,Memberi,1,E1,E
8882226,Give 2.jpg,Donate = Memberi,Donate,Memberi,1,E2,E
8882226,Give 2.jpg,Grant = Memberi,Grant,Memberi,1,E2,E
8882226,Give 3.jpg,Give = Memberi,Give,Memberi,1,E3,E
8882226,Give 3.jpg,Present = Memberi,Present,Memberi,1,E3,E
8882226,Give 4.jpg,Bestow = Memberi,Bestow,Memberi,1,E4,E
8882226,Give 4.jpg,Provide = Memberi,Provide,Memberi,1,E4,E
8882226,Make 1.jpg,Construct = Membuat,Construct,Membuat,1,B1,B
8882226,Make 1.jpg,Design = Membuat,Design,Membuat,1,B1,B
8882226,Make 1.jpg,Make = Membuat,Make,Membuat,1,B1,B
8882226,Make 2.jpg,Create = Membuat,Create,Membuat,1,B2,B
8882226,Make 2.jpg,Produce = Membuat,Produce,Membuat,1,B2,B
8882226,Make 3.jpg,Establish = Membuat,Establish,Membuat,1,B3,B
8882226,Make 4.jpg,Manufacture = Membuat,Manufacture,Membuat,1,B4,B
8882226,Take 1.jpeg,Collect = Mengambil,Collect,Mengambil,1,A1,A
8882226,Take 1.jpeg,Fetch = Mengambil,Fetch,Mengambil,1,A1,A
8882226,Take 2.jpeg,Gather = Mengambil,Gather,Mengambil,1,A2,A
8882226,Take 3.jpg,Bring = Mengambil,Bring,Mengambil,1,A3,A
8882226,Take 4.jpg,Hoard = Mengambil,Hoard,Mengambil,1,A4,A
8882226,Take 4.jpg,Seize = Mengambil,Seize,Mengambil,1,A4,A
8882226,Take 4.jpg,Take = Mengambil,Take,Mengambil,1,A4,A
8882247,Find 1.jpg,Locate = Mencari,Locate,Mencari,1,C1,C
8882247,Find 2.jpg,Rummage = Mencari,Rummage,Mencari,1,C2,C
8882247,Find 3.jpg,Find = Mencari,Find,Mencari,1,C3,C
8882247,Find 3.jpg,Search = Mencari,Search,Mencari,1,C3,C
8882247,Find 4.jpg,Discover = Mencari,Discover,Mencari,1,C4,C
8882247,Find 4.jpg,Explore = Mencari,Explore,Mencari,1,C4,C
8882247,Find 4.jpg,Investigate = Mencari,Investigate,Mencari,1,C4,C
8882247,Get 1.jpg,Earn = Mendapatkan,Earn,Mendapatkan,1,D1,D
8882247,Get 2.jpg,Obtain = Mendapatkan,Obtain,Mendapatkan,1,D2,D
8882247,Get 2.jpg,Procure = Mendapatkan,Procure,Mendapatkan,1,D2,D
8882247,Get 3.jpg,Acquire = Mendapatkan,Acquire,Mendapatkan,1,D3,D
8882247,Get 3.jpg,Gain = Mendapatkan,Gain,Mendapatkan,1,D3,D
8882247,Get 3.jpg,Get = Mendapatkan,Get,Mendapatkan,1,D3,D
8882247,Get 4.jpg,Receive = Mendapatkan,Receive,Mendapatkan,1,D4,D
8882247,Give 1.jpg,Provide = Memberi,Provide,Memberi,1,E1,E
8882247,Give 2.jpg,Donate = Memberi,Donate,Memberi,1,E2,E
8882247,Give 2.jpg,Share = Memberi,Share,Memberi,1,E2,E
8882247,Give 3.jpg,Give = Memberi,Give,Memberi,1,E3,E
8882247,Give 3.jpg,Grant = Memberi,Grant,Memberi,1,E3,E
8882247,Give 3.jpg,Present = Memberi,Present,Memberi,1,E3,E
8882247,Give 4.jpg,Bestow = Memberi,Bestow,Memberi,1,E4,E
8882247,Make 1.jpg,Construct = Membuat,Construct,Membuat,1,B1,B
8882247,Make 1.jpg,Design = Membuat,Design,Membuat,1,B1,B
8882247,Make 1.jpg,Make = Membuat,Make,Membuat,1,B1,B
